,enerProc,enerSol,SF,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,CaldF,HPumpF,enerPeak,enerSto
1,11124.71123589541,332.377996951202,2.987744939201107,730,0,547.5,0,365.0,4.921476058033902,6.561968077378537,332.377996951202,0.0
2,10157.34504146972,269.6768506612542,2.6549935003707743,730,0,547.5,0,365.0,5.390188063560942,7.186917418081255,269.6768506612542,0.0
3,12064.7727393494,265.3795081982417,2.199622934733808,730,0,547.5,0,365.0,4.538005081640057,6.050673442186741,265.3795081982417,0.0
4,14105.169948183291,176.89285048523072,1.2540993914647165,730,0,547.5,0,365.0,3.881555500651848,5.175407334202465,176.89285048523072,0.0
5,15607.534722536879,126.61305313646282,0.8112303152761008,730,0,547.5,0,365.0,3.5079210761544815,4.677228101539308,126.61305313646282,0.0
6,15466.41714507048,92.48516946029618,0.5979741047510375,730,0,547.5,0,365.0,3.5399277988212123,4.719903731761616,92.48516946029618,0.0
7,17444.837039476566,110.36436399681483,0.6326477211972071,730,0,547.5,0,365.0,3.1384643993007333,4.184619199067644,110.36436399681483,0.0
8,16010.950696448812,155.85560284599416,0.9734312833813331,730,0,547.5,0,365.0,3.4195346071575505,4.559379476210068,155.85560284599416,0.0
9,14697.551719931065,222.36612536857234,1.5129467111656831,730,0,547.5,0,365.0,3.7251102117745627,4.966813615699417,222.36612536857234,0.0
10,12971.201798050963,281.6097029820525,2.1710378680899627,730,0,547.5,0,365.0,4.220888769784359,5.6278516930458125,281.6097029820525,0.0
11,10702.39868219989,310.0098428868783,2.8966388946291377,730,0,547.5,0,365.0,5.1156756186872006,6.820900824916268,310.0098428868783,0.0
12,11432.604132185734,332.58533045569243,2.909095133622084,730,0,547.5,0,365.0,4.788935168835646,6.385246891780863,332.58533045569243,0.0
